model,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,brier_score,log_loss,ece,high_confidence_predictions,high_confidence_errors,high_confidence_accuracy,mean_probability_fake,probability_std,confusion_matrix,threshold_lower_threshold,threshold_upper_threshold,threshold_likely_real,threshold_uncertain,threshold_likely_fake,threshold_strong_coverage,threshold_strong_accuracy,threshold_binary_errors,threshold_errors_in_uncertain,threshold_errors_captured_fraction,threshold_strong_false_positives,threshold_strong_false_negatives
new_calibrated_svm,792,399,393,0.9116161616161617,0.9118620016323133,0.9116161616161617,0.9115936078143897,0.902200488997555,0.924812030075188,0.9133663366336634,0.9216710182767625,0.8982188295165394,0.9097938144329897,30,40,0.06576767431132877,0.21917558427200332,0.028504709664710037,590,15,0.9745762711864406,0.4998775198290625,0.43613057580518355,"[[369, 30], [40, 353]]",0.3,0.7,368,71,353,0.9103535353535354,0.9431345353675451,70,29,0.4142857142857143,15,26
current_app_model,792,399,393,0.8838383838383839,0.8842878496516527,0.8838383838383839,0.8837864981781366,0.8716707021791767,0.9022556390977443,0.8866995073891626,0.8970976253298153,0.8651399491094147,0.8808290155440415,39,53,0.0808658567907742,0.28164813083217094,0.04975828420442294,508,18,0.9645669291338582,0.4988715604266954,0.41030299932899594,"[[360, 39], [53, 340]]",0.3,0.7,352,110,330,0.8611111111111112,0.9398826979472141,92,51,0.5543478260869565,9,32
