length_group,length_description,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,brier_score,log_loss,ece,high_confidence_predictions,high_confidence_errors,high_confidence_accuracy,mean_probability_fake,probability_std,confusion_matrix,threshold_lower_threshold,threshold_upper_threshold,threshold_likely_real,threshold_uncertain,threshold_likely_fake,threshold_strong_coverage,threshold_strong_accuracy,threshold_binary_errors,threshold_errors_in_uncertain,threshold_errors_captured_fraction,threshold_strong_false_positives,threshold_strong_false_negatives,mean_probability_fake_real,mean_probability_fake_fake
very_short_le_60,Shumë të shkurtër (<=60),9,6,3,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8917748917748918,1.0,0.8333333333333334,0.9090909090909091,0.75,1.0,0.8571428571428571,1,0,0.1323213815035169,0.45244850977055734,0.1944989249810033,7,1,0.8571428571428571,0.5278322583143367,0.40561461064738596,"[[5, 1], [0, 3]]",0.3,0.7,4,1,4,0.8888888888888888,0.875,1,0,0.0,1,0,0.30864184463326033,0.9662130856764893
short_61_120,Të shkurtër (61-120),341,75,266,0.9560117302052786,0.9558221934082753,0.9560117302052786,0.9559053833551004,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.9700374531835206,0.9736842105263158,0.9718574108818011,8,7,0.033439944605964715,0.11618350058854625,0.02879619406887319,279,2,0.992831541218638,0.7767969053762913,0.36231128020393544,"[[67, 8], [7, 259]]",0.3,0.7,68,14,259,0.9589442815249267,0.9724770642201835,15,6,0.4,5,4,0.1643442870208819,0.949480914311087
medium_121_250,Mesatarë (121-250),269,174,95,0.8773234200743495,0.8770517847255963,0.8773234200743495,0.8771746332701158,0.9028571428571428,0.9080459770114943,0.9054441260744985,0.8297872340425532,0.8210526315789474,0.8253968253968254,16,17,0.086835740084554,0.27762013066290053,0.05385934514709434,178,5,0.9719101123595506,0.37961805692495154,0.3958978768389463,"[[158, 16], [17, 78]]",0.3,0.7,152,37,80,0.862453531598513,0.9267241379310345,33,16,0.48484848484848486,7,10,0.14846558689238928,0.8029920546688023
long_gt_250,Të gjatë (>250),173,144,29,0.8786127167630058,0.8675140365052728,0.8786127167630058,0.8666406983636268,0.896774193548387,0.9652777777777778,0.9297658862876255,0.7222222222222222,0.4482758620689655,0.5531914893617021,5,16,0.093267459119432,0.31917131391027226,0.04902895731305997,126,7,0.9444444444444444,0.13958094412520897,0.23723305800393188,"[[139, 5], [16, 13]]",0.3,0.7,144,19,10,0.8901734104046243,0.9090909090909091,21,7,0.3333333333333333,2,12,0.07751176445240561,0.447786525948784
