classifier,classifier_display,cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,mean_score_real,mean_score_fake,confusion_matrix
logistic_regression,Logistic Regression,real_30_60,6,6,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,1,0,-0.32131289283621894,,"[[5, 1], [0, 0]]"
logistic_regression,Logistic Regression,fake_gt_250,29,0,29,0.10344827586206896,1.0,0.10344827586206896,0.1875,0.0,0.0,0.0,1.0,0.10344827586206896,0.1875,0,26,,-0.8853398835075419,"[[0, 0], [26, 3]]"
linear_svm,Linear SVM,real_30_60,6,6,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,1,0,-0.32267276230986736,,"[[5, 1], [0, 0]]"
linear_svm,Linear SVM,fake_gt_250,29,0,29,0.4482758620689655,1.0,0.4482758620689655,0.6190476190476191,0.0,0.0,0.0,1.0,0.4482758620689655,0.6190476190476191,0,16,,-0.18427160925251118,"[[0, 0], [16, 13]]"
complement_nb,Complement Naive Bayes,real_30_60,6,6,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,1,0,-2.546235960241385,,"[[5, 1], [0, 0]]"
complement_nb,Complement Naive Bayes,fake_gt_250,29,0,29,0.13793103448275862,1.0,0.13793103448275862,0.24242424242424243,0.0,0.0,0.0,1.0,0.13793103448275862,0.24242424242424243,0,25,,-3.1072974273542693,"[[0, 0], [25, 4]]"
