candidate_id,candidate_display,c_value,spearman_all,spearman_all_p,spearman_real,spearman_real_p,spearman_fake,spearman_fake_p,mean_absolute_within_label_spearman,real_30_60_accuracy,fake_gt_250_accuracy
linear_svm_c_1_0,Linear SVM (C=1.0),1.0,-0.6121839668485495,1.2622294353620182e-82,-0.30445814138315186,5.281123378514051e-10,-0.43505615358662814,1.4038440782735236e-19,0.36975714748488997,0.8333333333333334,0.4482758620689655
linear_svm_c_4_0,Linear SVM (C=4.0),4.0,-0.5964301846899994,1.8136003270159876e-77,-0.26157036966196623,1.1514287094969122e-07,-0.41812667608299664,4.6073023184272164e-18,0.33984852287248146,0.8333333333333334,0.4482758620689655
linear_svm_c_2_0,Linear SVM (C=2.0),2.0,-0.6025848578977675,1.8961173528827502e-79,-0.2773440976043246,1.7663637004279285e-08,-0.4250695374160946,1.12715434192445e-18,0.3512068175102096,0.8333333333333334,0.4482758620689655
