model,model_display,cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,brier_score,log_loss,confusion_matrix,false_positives,false_negatives,likely_real,uncertain,likely_fake,strong_coverage,strong_accuracy,mean_probability_fake_real,mean_probability_fake_fake,training_seconds,model_size_mb
word_tfidf,Word TF-IDF,all_internal_test,792,399,393,0.8838,0.8843,0.8838,0.8838,0.8717,0.9023,0.8867,0.8971,0.8651,0.8808,0.080866,0.281648,"[[360, 39], [53, 340]]",39,53,352,110,330,0.8611,0.9399,0.1639,0.8389,19.059,0.567
char_tfidf,Character TF-IDF,all_internal_test,792,399,393,0.8826,0.8838,0.8826,0.8825,0.8626,0.9123,0.8867,0.9054,0.8524,0.8781,0.079223,0.271506,"[[364, 35], [58, 335]]",35,58,355,104,333,0.8687,0.9404,0.1526,0.8405,64.002,0.812
word_char_tfidf,Word + Character TF-IDF,all_internal_test,792,399,393,0.9028,0.9035,0.9028,0.9027,0.887,0.9248,0.9055,0.9202,0.8804,0.8999,0.071269,0.248192,"[[369, 30], [47, 346]]",30,47,359,97,336,0.8775,0.9439,0.1425,0.8577,87.651,1.354
