model,accuracy,precision,recall,f1,precision_fake,recall_fake,f1_fake,brier_score,log_loss,expected_calibration_error,false_positives,false_negatives,high_confidence_predictions_90,high_confidence_errors_90,high_confidence_error_rate_90,extreme_probability_predictions_10_90,near_50_predictions_45_55,near_50_errors_45_55,uncertain_predictions_35_65,uncertain_errors_35_65,mean_probability_fake,median_probability_fake,minimum_probability_fake,maximum_probability_fake,true_real_pred_real,true_real_pred_fake,true_fake_pred_real,true_fake_pred_fake
uncalibrated,0.8977,0.9012,0.8977,0.8975,0.9382,0.8499,0.8919,0.1008,0.3512,0.1317,22,59,129,2,0.0155,129,55,20,172,47,0.4881,0.4306,0.0137,0.9942,377,22,59,334
calibrated_sigmoid,0.8826,0.883,0.8826,0.8825,0.8947,0.8651,0.8797,0.0819,0.2868,0.048,40,53,509,19,0.0373,509,26,16,79,39,0.4996,0.4336,0.0001,1.0,359,40,53,340
