model,bin_id,bin_lower,bin_upper,rows,mean_probability_fake,fraction_fake,absolute_gap
new_calibrated_svm,0,0.0,0.1,289,0.02905607015167341,0.04844290657439446,0.019386836422721054
new_calibrated_svm,1,0.1,0.2,58,0.14219165536117326,0.15517241379310345,0.012980758431930195
new_calibrated_svm,2,0.2,0.3,21,0.24782172430711852,0.14285714285714285,0.10496458144997567
new_calibrated_svm,3,0.3,0.4,21,0.35288179341124554,0.2857142857142857,0.06716750769695984
new_calibrated_svm,4,0.4,0.5,20,0.4487679199599282,0.4,0.048767919959928185
new_calibrated_svm,5,0.5,0.6,12,0.5627410411180023,0.5,0.06274104111800227
new_calibrated_svm,6,0.6,0.7,18,0.6570186816658391,0.5,0.1570186816658391
new_calibrated_svm,7,0.7,0.8,19,0.752028526243636,0.5789473684210527,0.17308115782258338
new_calibrated_svm,8,0.8,0.9,33,0.8570139347339234,0.8181818181818182,0.03883211655210517
new_calibrated_svm,9,0.9,1.0,301,0.9851139951505046,0.9966777408637874,0.01156374571328278
current_app_model,0,0.0,0.1,246,0.03670424970581452,0.07317073170731707,0.03646648200150255
current_app_model,1,0.1,0.2,70,0.15008138321546674,0.1,0.050081383215466735
current_app_model,2,0.2,0.3,36,0.24647270341218627,0.19444444444444445,0.052028258967741825
current_app_model,3,0.3,0.4,28,0.3445865186632854,0.25,0.09458651866328538
current_app_model,4,0.4,0.5,33,0.44508641304020957,0.42424242424242425,0.020843988797785318
current_app_model,5,0.5,0.6,24,0.5538426442941512,0.25,0.3038426442941512
current_app_model,6,0.6,0.7,25,0.6501199555352776,0.52,0.13011995553527755
current_app_model,7,0.7,0.8,18,0.7498448789811677,0.6666666666666666,0.08317821231450107
current_app_model,8,0.8,0.9,50,0.8523661371896882,0.94,0.08763386281031171
current_app_model,9,0.9,1.0,262,0.9797759736523096,1.0,0.020224026347690383
