classifier,classifier_display,score_type,spearman_all,spearman_all_p,spearman_real,spearman_real_p,spearman_fake,spearman_fake_p,mean_absolute_within_label_spearman,real_30_60_accuracy,fake_gt_250_accuracy
logistic_regression,Logistic Regression,log-odds nga decision_function,-0.6816862346959738,2.6057268103260967e-109,-0.48219890821835193,1.264181323993427e-24,-0.506339314046212,5.586932800814212e-27,0.494269111132282,0.8333333333333334,0.10344827586206896
linear_svm,Linear SVM,decision score (jo probabilitet),-0.6121839668485495,1.2622294353620182e-82,-0.30445814138315186,5.281123378514051e-10,-0.43505615358662814,1.4038440782735236e-19,0.36975714748488997,0.8333333333333334,0.4482758620689655
complement_nb,Complement Naive Bayes,diferencë e log-probabiliteteve,-0.6222093743472507,4.6198935490101925e-86,-0.26869093863561627,5.013930611181399e-08,-0.438487545253919,6.753001509376741e-20,0.3535892419447676,0.8333333333333334,0.13793103448275862
