candidate_id,candidate_display,c_value,cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,confusion_matrix
linear_svm_c_1_0,Linear SVM (C=1.0),1.0,real_30_60,6,6,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,1,0,"[[5, 1], [0, 0]]"
linear_svm_c_1_0,Linear SVM (C=1.0),1.0,fake_gt_250,29,0,29,0.4482758620689655,1.0,0.4482758620689655,0.6190476190476191,0.0,0.0,0.0,1.0,0.4482758620689655,0.6190476190476191,0,16,"[[0, 0], [16, 13]]"
linear_svm_c_4_0,Linear SVM (C=4.0),4.0,real_30_60,6,6,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,1,0,"[[5, 1], [0, 0]]"
linear_svm_c_4_0,Linear SVM (C=4.0),4.0,fake_gt_250,29,0,29,0.4482758620689655,1.0,0.4482758620689655,0.6190476190476191,0.0,0.0,0.0,1.0,0.4482758620689655,0.6190476190476191,0,16,"[[0, 0], [16, 13]]"
linear_svm_c_2_0,Linear SVM (C=2.0),2.0,real_30_60,6,6,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,1,0,"[[5, 1], [0, 0]]"
linear_svm_c_2_0,Linear SVM (C=2.0),2.0,fake_gt_250,29,0,29,0.4482758620689655,1.0,0.4482758620689655,0.6190476190476191,0.0,0.0,0.0,1.0,0.4482758620689655,0.6190476190476191,0,16,"[[0, 0], [16, 13]]"
