model,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,brier_score,log_loss,ece,high_confidence_predictions,high_confidence_errors,high_confidence_accuracy,mean_probability_fake,probability_std,confusion_matrix,threshold_lower_threshold,threshold_upper_threshold,threshold_likely_real,threshold_uncertain,threshold_likely_fake,threshold_strong_coverage,threshold_strong_accuracy,threshold_binary_errors,threshold_errors_in_uncertain,threshold_errors_captured_fraction,threshold_strong_false_positives,threshold_strong_false_negatives
new_calibrated_svm,40,20,20,0.6,0.6041666666666667,0.6,0.5959595959595959,0.625,0.5,0.5555555555555556,0.5833333333333334,0.7,0.6363636363636364,10,6,0.23768156973680582,0.6709530038152123,0.23469325746785835,6,1,0.8333333333333334,0.5668659296224509,0.2601105905686658,"[[10, 10], [6, 14]]",0.3,0.7,8,19,13,0.525,0.7142857142857143,16,10,0.625,2,4
current_app_model,40,20,20,0.475,0.40990990990990994,0.475,0.35926773455377575,0.3333333333333333,0.05,0.08695652173913043,0.4864864864864865,0.9,0.631578947368421,19,2,0.3218236467781778,0.8923336944969111,0.34679058502625104,12,3,0.75,0.7820342602567847,0.16409267859331203,"[[1, 19], [2, 18]]",0.3,0.7,1,8,31,0.8,0.5625,21,7,0.3333333333333333,13,1
