cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,brier_score,log_loss,ece,high_confidence_predictions,high_confidence_errors,high_confidence_accuracy,mean_probability_fake,probability_std,confusion_matrix,threshold_lower_threshold,threshold_upper_threshold,threshold_likely_real,threshold_uncertain,threshold_likely_fake,threshold_strong_coverage,threshold_strong_accuracy,threshold_binary_errors,threshold_errors_in_uncertain,threshold_errors_captured_fraction,threshold_strong_false_positives,threshold_strong_false_negatives
real_30_60,6,6,0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,1,0,0.19764485876766066,0.6613458127899097,0.3086418446332603,4,1,0.75,0.30864184463326033,0.3199766718200549,"[[5, 1], [0, 0]]",0.3,0.7,4,1,1,0.8333333333333334,0.8,1,0,0.0,1,0
fake_gt_250,29,0,29,0.4482758620689655,1.0,0.4482758620689655,0.6190476190476191,0.0,0.0,0.0,1.0,0.4482758620689655,0.6190476190476191,0,16,0.4148359513744602,1.3886389668267753,0.5522134740512159,10,7,0.3,0.447786525948784,0.33150600364208693,"[[0, 0], [16, 13]]",0.3,0.7,12,9,8,0.6896551724137931,0.4,16,4,0.25,0,12
