method,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,brier_score,log_loss,ece,high_confidence_predictions,high_confidence_errors,high_confidence_accuracy,mean_probability_fake,probability_std,confusion_matrix,std_brier_score,std_log_loss,std_ece,std_f1_weighted,mean_training_seconds,total_training_seconds
sigmoid,3195,1598,1597,0.913302034428795,0.9136904213026298,0.913302034428795,0.9132812211912938,0.9010321797207043,0.9286608260325406,0.914637904468413,0.9263565891472868,0.8979336255479023,0.9119236883942766,114,163,0.06533808253624682,0.2175249170490064,0.01485606863345847,2263,49,0.9783473265576668,0.5025418342360565,0.4268765850622353,"[[1484, 114], [163, 1434]]",0.004025278894834817,0.014730849966966912,0.0077233995632688315,0.006117269354078023,49.58280050000176,247.9140025000088
isotonic,3195,1598,1597,0.9114241001564946,0.9121479280993228,0.9114241001564946,0.9113845494420134,0.8948948948948949,0.932415519399249,0.9132699969353356,0.9294117647058824,0.8904195366311835,0.9094979213303486,108,175,0.06587484921854436,0.2475323561295414,0.01379230277462448,2313,57,0.9753566796368353,0.5021981193938102,0.4298164999596454,"[[1490, 108], [175, 1422]]",0.004744789030227308,0.05236916695296173,0.006459717621539869,0.004208940384596506,48.42869203996379,242.14346019981895
