classifier,classifier_display,cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,mean_score_real,mean_score_fake,confusion_matrix,final_training_seconds,model_size_mb
logistic_regression,Logistic Regression,all_internal_test,792,399,393,0.9040404040404041,0.9081377247277084,0.9040404040404041,0.9037579658712575,0.8678815489749431,0.9548872180451128,0.9093078758949881,0.9490084985835694,0.8524173027989822,0.8981233243967829,18,58,-1.5458797425868256,1.7040965338165206,"[[381, 18], [58, 335]]",15.296,1.329
linear_svm,Linear SVM,all_internal_test,792,399,393,0.9141414141414141,0.91516840327362,0.9141414141414141,0.9140701608383721,0.8949880668257757,0.9398496240601504,0.9168704156479217,0.935656836461126,0.8880407124681934,0.9112271540469974,24,44,-0.7624778261678398,0.8980072890082762,"[[375, 24], [44, 349]]",16.698,1.326
complement_nb,Complement Naive Bayes,all_internal_test,792,399,393,0.8863636363636364,0.8882459220545904,0.8863636363636364,0.8861908517670782,0.8618266978922716,0.9223057644110275,0.8910411622276029,0.915068493150685,0.8498727735368957,0.8812664907651715,31,59,-5.839782913474721,6.430892481285128,"[[368, 31], [59, 334]]",15.762,3.392
