classifier,classifier_display,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,mean_score_real,mean_score_fake,confusion_matrix
logistic_regression,Logistic Regression,40,20,20,0.6,0.6333333333333333,0.6,0.5733333333333335,0.7,0.35,0.4666666666666667,0.5666666666666667,0.85,0.68,13,3,0.10525633455321018,0.7035787133486167,"[[7, 13], [3, 17]]"
linear_svm,Linear SVM,40,20,20,0.575,0.5751879699248119,0.575,0.5747342088805503,0.5714285714285714,0.6,0.5853658536585366,0.5789473684210527,0.55,0.5641025641025641,8,9,-0.09862658597098464,0.14360881575038936,"[[12, 8], [9, 11]]"
complement_nb,Complement Naive Bayes,40,20,20,0.8,0.8571428571428571,0.8,0.7916666666666667,0.7142857142857143,1.0,0.8333333333333334,1.0,0.6,0.75,0,8,-3.5506206856275426,0.14007082539804258,"[[20, 0], [8, 12]]"
