threshold_name,lower,upper,lower_threshold,upper_threshold,likely_real,uncertain,likely_fake,strong_coverage,strong_accuracy,binary_errors,errors_in_uncertain,errors_captured_fraction,strong_false_positives,strong_false_negatives
30_70,0.3,0.7,0.3,0.7,1444,365,1386,0.8857589984350548,0.9487632508833922,277,132,0.47653429602888087,54,91
35_65,0.35,0.65,0.35,0.65,1506,266,1423,0.9167449139280125,0.9402526459542506,277,102,0.36823104693140796,64,111
40_60,0.4,0.6,0.4,0.6,1564,155,1476,0.9514866979655712,0.9282894736842106,277,59,0.21299638989169675,82,136
